Year,Month_Name,Date,State,Vehicle_Class,Vehicle_Category,Vehicle_Type,EV_Sales_Quantity
2016,jan,1/1/2016,Gujarat,MOPED,2-Wheelers,2W_Personal,1
2016,jan,1/1/2016,Gujarat,MOTOR CAR,4-Wheelers,4W_Personal,1
2016,jan,1/1/2016,Gujarat,THREE WHEELER (GOODS),3-Wheelers,3W_Goods,1
2016,jan,1/1/2016,Himachal Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,2
2016,jan,1/1/2016,Haryana,AGRICULTURAL TRACTOR,Others,Others,1
2016,jan,1/1/2016,Haryana,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,5
2016,jan,1/1/2016,Haryana,GOODS CARRIER,Others,Others,1
2016,jan,1/1/2016,Haryana,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,5
2016,jan,1/1/2016,Haryana,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,1
2016,jan,1/1/2016,Jharkhand,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,39
2016,jan,1/1/2016,Karnataka,GOODS CARRIER,Others,Others,1
2016,jan,1/1/2016,Karnataka,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,5
2016,jan,1/1/2016,Karnataka,MOTOR CAB,4-Wheelers,4W_Shared,7
2016,jan,1/1/2016,Karnataka,MOTOR CAR,4-Wheelers,4W_Personal,46
2016,jan,1/1/2016,Karnataka,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,13
2016,jan,1/1/2016,Karnataka,TRAILER (AGRICULTURAL),Others,Others,3
2016,jan,1/1/2016,Kerala,MOTOR CAR,4-Wheelers,4W_Personal,2
2016,jan,1/1/2016,Maharashtra,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,61
2016,jan,1/1/2016,Maharashtra,MOPED,2-Wheelers,2W_Personal,5
2016,jan,1/1/2016,Maharashtra,MOTOR CAR,4-Wheelers,4W_Personal,19
2016,jan,1/1/2016,Madhya Pradesh,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,15
2016,jan,1/1/2016,Madhya Pradesh,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,3
2016,jan,1/1/2016,Madhya Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,3
2016,jan,1/1/2016,Mizoram,GOODS CARRIER,Others,Others,1
2016,jan,1/1/2016,Odisha,MOPED,2-Wheelers,2W_Personal,4
2016,jan,1/1/2016,Rajasthan,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,225
2016,jan,1/1/2016,Rajasthan,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,2
2016,jan,1/1/2016,Rajasthan,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,6
2016,jan,1/1/2016,Tamil Nadu,MOTOR CAR,4-Wheelers,4W_Personal,2
2016,jan,1/1/2016,Tamil Nadu,TRAILER (AGRICULTURAL),Others,Others,3
2016,jan,1/1/2016,Uttarakhand,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,3
2016,jan,1/1/2016,Uttar Pradesh,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,299
2016,jan,1/1/2016,Uttar Pradesh,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,2
2016,jan,1/1/2016,Uttar Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,4
2016,jan,1/1/2016,West Bengal,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,12
2016,jan,1/1/2016,West Bengal,MOTOR CAR,4-Wheelers,4W_Personal,1
2016,jan,1/1/2016,West Bengal,TRACTOR (COMMERCIAL),Others,Others,1
2017,jan,1/1/2017,Bihar,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,108
2017,jan,1/1/2017,Bihar,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,10
2017,jan,1/1/2017,Bihar,TRACTOR (COMMERCIAL),Others,Others,1
2017,jan,1/1/2017,Chhattisgarh,CONSTRUCTION EQUIPMENT VEHICLE,Others,Others,6
2017,jan,1/1/2017,Chhattisgarh,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,1
2017,jan,1/1/2017,Chhattisgarh,GOODS CARRIER,Others,Others,9
2017,jan,1/1/2017,Chhattisgarh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,6
2017,jan,1/1/2017,Delhi,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,1612
2017,jan,1/1/2017,Delhi,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,14
2017,jan,1/1/2017,Delhi,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,2
2017,jan,1/1/2017,Delhi,MOTOR CAB,4-Wheelers,4W_Shared,1
2017,jan,1/1/2017,Delhi,MOTOR CAR,4-Wheelers,4W_Personal,6
2017,jan,1/1/2017,Goa,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2017,jan,1/1/2017,Gujarat,FORK LIFT,Others,Others,7
2017,jan,1/1/2017,Gujarat,MOTOR CAB,4-Wheelers,4W_Shared,1
2017,jan,1/1/2017,Gujarat,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,1
2017,jan,1/1/2017,Haryana,AGRICULTURAL TRACTOR,Others,Others,2
2017,jan,1/1/2017,Haryana,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,111
2017,jan,1/1/2017,Haryana,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,5
2017,jan,1/1/2017,Haryana,MOTOR CAR,4-Wheelers,4W_Personal,3
2017,jan,1/1/2017,Haryana,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,18
2017,jan,1/1/2017,Jharkhand,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,5
2017,jan,1/1/2017,Jharkhand,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,69
2017,jan,1/1/2017,Karnataka,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,2
2017,jan,1/1/2017,Karnataka,MOTOR CAB,4-Wheelers,4W_Shared,19
2017,jan,1/1/2017,Karnataka,MOTOR CAR,4-Wheelers,4W_Personal,41
2017,jan,1/1/2017,Karnataka,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,2
2017,jan,1/1/2017,Kerala,MOTOR CAR,4-Wheelers,4W_Personal,3
2017,jan,1/1/2017,Maharashtra,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,72
2017,jan,1/1/2017,Maharashtra,MOTOR CAR,4-Wheelers,4W_Personal,7
2017,jan,1/1/2017,Madhya Pradesh,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,65
2017,jan,1/1/2017,Madhya Pradesh,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,2
2017,jan,1/1/2017,Madhya Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,3
2017,jan,1/1/2017,Madhya Pradesh,MOPED,2-Wheelers,2W_Personal,1
2017,jan,1/1/2017,Odisha,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2017,jan,1/1/2017,Punjab,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,8
2017,jan,1/1/2017,Punjab,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2017,jan,1/1/2017,Punjab,MOPED,2-Wheelers,2W_Personal,1
2017,jan,1/1/2017,Punjab,MOTOR CAR,4-Wheelers,4W_Personal,1
2017,jan,1/1/2017,Puducherry,MOTOR CAR,4-Wheelers,4W_Personal,1
2017,jan,1/1/2017,Rajasthan,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,32
2017,jan,1/1/2017,Rajasthan,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,4
2017,jan,1/1/2017,Rajasthan,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,3
2017,jan,1/1/2017,Tamil Nadu,MAXI CAB,Others,Others,1
2017,jan,1/1/2017,Tamil Nadu,MOTOR CAR,4-Wheelers,4W_Personal,1
2017,jan,1/1/2017,Tamil Nadu,TRAILER (AGRICULTURAL),Others,Others,6
2017,jan,1/1/2017,Uttarakhand,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,214
2017,jan,1/1/2017,Uttarakhand,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,2
2017,jan,1/1/2017,Uttar Pradesh,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,1923
2017,jan,1/1/2017,Uttar Pradesh,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,2
2017,jan,1/1/2017,Uttar Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,5
2017,jan,1/1/2017,Uttar Pradesh,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,3
2017,jan,1/1/2017,West Bengal,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,151
2017,jan,1/1/2017,West Bengal,MOTOR CAR,4-Wheelers,4W_Personal,2
2017,jan,1/1/2017,West Bengal,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,4
2018,jan,1/1/2018,Assam,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,381
2018,jan,1/1/2018,Assam,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2018,jan,1/1/2018,Andhra Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2018,jan,1/1/2018,Bihar,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,445
2018,jan,1/1/2018,Bihar,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,9
2018,jan,1/1/2018,Bihar,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,13
2018,jan,1/1/2018,Bihar,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,13
2018,jan,1/1/2018,Chhattisgarh,AGRICULTURAL TRACTOR,Others,Others,1
2018,jan,1/1/2018,Chhattisgarh,CONSTRUCTION EQUIPMENT VEHICLE,Others,Others,15
2018,jan,1/1/2018,Chhattisgarh,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,22
2018,jan,1/1/2018,Chhattisgarh,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,1
2018,jan,1/1/2018,Chhattisgarh,GOODS CARRIER,Others,Others,67
2018,jan,1/1/2018,Chhattisgarh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2018,jan,1/1/2018,Chhattisgarh,MOPED,2-Wheelers,2W_Personal,1
2018,jan,1/1/2018,Chhattisgarh,MOTOR CAR,4-Wheelers,4W_Personal,2
2018,jan,1/1/2018,Chhattisgarh,THREE WHEELER (GOODS),3-Wheelers,3W_Goods,3
2018,jan,1/1/2018,Chhattisgarh,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,7
2018,jan,1/1/2018,Chhattisgarh,THREE WHEELER (PERSONAL),3-Wheelers,3W_Personal,1
2018,jan,1/1/2018,Chandigarh,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,10
2018,jan,1/1/2018,Delhi,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,1885
2018,jan,1/1/2018,Delhi,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,46
2018,jan,1/1/2018,Delhi,MOTOR CAB,4-Wheelers,4W_Shared,5
2018,jan,1/1/2018,Delhi,MOTOR CAR,4-Wheelers,4W_Personal,5
2018,jan,1/1/2018,Gujarat,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,1
2018,jan,1/1/2018,Gujarat,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,3
2018,jan,1/1/2018,Gujarat,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,12
2018,jan,1/1/2018,Gujarat,MOPED,2-Wheelers,2W_Personal,2
2018,jan,1/1/2018,Gujarat,MOTOR CAR,4-Wheelers,4W_Personal,1
2018,jan,1/1/2018,Gujarat,THREE WHEELER (GOODS),3-Wheelers,3W_Goods,6
2018,jan,1/1/2018,Gujarat,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,9
2018,jan,1/1/2018,Gujarat,THREE WHEELER (PERSONAL),3-Wheelers,3W_Personal,7
2018,jan,1/1/2018,Haryana,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,226
2018,jan,1/1/2018,Haryana,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,3
2018,jan,1/1/2018,Haryana,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,19
2018,jan,1/1/2018,Haryana,MOTOR CAB,4-Wheelers,4W_Shared,1
2018,jan,1/1/2018,Haryana,MOTOR CAR,4-Wheelers,4W_Personal,1
2018,jan,1/1/2018,Haryana,MOTORISED CYCLE (CC > 25CC),2-Wheelers,2W_Personal,2
2018,jan,1/1/2018,Haryana,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,2
2018,jan,1/1/2018,Jharkhand,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,96
2018,jan,1/1/2018,Jharkhand,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,2
2018,jan,1/1/2018,Jharkhand,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,2
2018,jan,1/1/2018,Jharkhand,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,10
2018,jan,1/1/2018,Karnataka,AGRICULTURAL TRACTOR,Others,Others,1
2018,jan,1/1/2018,Karnataka,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,2
2018,jan,1/1/2018,Karnataka,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,1
2018,jan,1/1/2018,Karnataka,GOODS CARRIER,Others,Others,2
2018,jan,1/1/2018,Karnataka,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,5
2018,jan,1/1/2018,Karnataka,MOPED,2-Wheelers,2W_Personal,2
2018,jan,1/1/2018,Karnataka,MOTOR CAR,4-Wheelers,4W_Personal,32
2018,jan,1/1/2018,Karnataka,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,11
2018,jan,1/1/2018,Karnataka,TRAILER (AGRICULTURAL),Others,Others,2
2018,jan,1/1/2018,Kerala,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,1
2018,jan,1/1/2018,Kerala,MOTOR CAR,4-Wheelers,4W_Personal,1
2018,jan,1/1/2018,Maharashtra,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,148
2018,jan,1/1/2018,Maharashtra,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,13
2018,jan,1/1/2018,Maharashtra,GOODS CARRIER,Others,Others,3
2018,jan,1/1/2018,Maharashtra,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,30
2018,jan,1/1/2018,Maharashtra,MOTOR CAB,4-Wheelers,4W_Shared,23
2018,jan,1/1/2018,Maharashtra,MOTOR CAR,4-Wheelers,4W_Personal,11
2018,jan,1/1/2018,Maharashtra,MOTORISED CYCLE (CC > 25CC),2-Wheelers,2W_Personal,11
2018,jan,1/1/2018,Maharashtra,THREE WHEELER (GOODS),3-Wheelers,3W_Goods,3
2018,jan,1/1/2018,Manipur,GOODS CARRIER,Others,Others,1
2018,jan,1/1/2018,Madhya Pradesh,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,158
2018,jan,1/1/2018,Madhya Pradesh,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,34
2018,jan,1/1/2018,Madhya Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,3
2018,jan,1/1/2018,Madhya Pradesh,MOTOR CAR,4-Wheelers,4W_Personal,2
2018,jan,1/1/2018,Odisha,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,21
2018,jan,1/1/2018,Odisha,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,3
2018,jan,1/1/2018,Odisha,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,35
2018,jan,1/1/2018,Odisha,MOPED,2-Wheelers,2W_Personal,2
2018,jan,1/1/2018,Odisha,TRAILER (COMMERCIAL),Others,Others,38
2018,jan,1/1/2018,Punjab,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,3
2018,jan,1/1/2018,Punjab,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,2
2018,jan,1/1/2018,Punjab,MOPED,2-Wheelers,2W_Personal,1
2018,jan,1/1/2018,Puducherry,MOTOR CAR,4-Wheelers,4W_Personal,2
2018,jan,1/1/2018,Puducherry,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,1
2018,jan,1/1/2018,Rajasthan,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,682
2018,jan,1/1/2018,Rajasthan,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,55
2018,jan,1/1/2018,Rajasthan,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,2
2018,jan,1/1/2018,Rajasthan,MOTOR CAR,4-Wheelers,4W_Personal,1
2018,jan,1/1/2018,Tamil Nadu,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2018,jan,1/1/2018,Tamil Nadu,MOTOR CAR,4-Wheelers,4W_Personal,3
2018,jan,1/1/2018,Tamil Nadu,TRAILER (AGRICULTURAL),Others,Others,3
2018,jan,1/1/2018,Uttarakhand,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,358
2018,jan,1/1/2018,Uttarakhand,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,1
2018,jan,1/1/2018,Uttar Pradesh,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,3383
2018,jan,1/1/2018,Uttar Pradesh,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,13
2018,jan,1/1/2018,Uttar Pradesh,GOODS CARRIER,Others,Others,1
2018,jan,1/1/2018,Uttar Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,24
2018,jan,1/1/2018,Uttar Pradesh,M-CYCLE/SCOOTER-WITH SIDE CAR,2-Wheelers,2W_Personal,1
2018,jan,1/1/2018,Uttar Pradesh,MOPED,2-Wheelers,2W_Personal,2
2018,jan,1/1/2018,Uttar Pradesh,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,17
2018,jan,1/1/2018,West Bengal,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,507
2018,jan,1/1/2018,West Bengal,MOTOR CAR,4-Wheelers,4W_Personal,1
2019,jan,1/1/2019,Assam,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,403
2019,jan,1/1/2019,Assam,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,1
2019,jan,1/1/2019,Assam,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,11
2019,jan,1/1/2019,Andhra Pradesh,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,5
2019,jan,1/1/2019,Andhra Pradesh,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,2
2019,jan,1/1/2019,Andhra Pradesh,M-CYCLE/SCOOTER,2-Wheelers,2W_Personal,124
2019,jan,1/1/2019,Andhra Pradesh,OMNI BUS,Bus,Bus,1
2019,jan,1/1/2019,Andhra Pradesh,THREE WHEELER (PASSENGER),3-Wheelers,3W_Shared,1
2019,jan,1/1/2019,Bihar,E-RICKSHAW(P),3-Wheelers,3W_Shared_LowSpeed,724
2019,jan,1/1/2019,Bihar,E-RICKSHAW WITH CART (G),3-Wheelers,3W_Goods_LowSpeed,25
